8.37867,45.10740,131006 Box Speed Check Fisso@50
8.38046,45.10800,131006 Box Speed Check Fisso@50
8.38361,45.44333,Box Speed Check Fisso - Altri Enti@50
8.40750,44.22667,110901 Box speed check fisso@50
8.41061,45.53213,Autovelox@50
8.42024,44.22876,110824Box speed check fisso@50
8.43219,44.23580,110816 Box Speed Check Fisso@50
8.44627,44.24917,120113 Box Speed Check Fisso@50
8.45229,45.69609,130508 Box speedcheck fisso@50
8.45390,45.69445,130508 Box speedcheck fisso@50
8.45707,45.69117,130508 Box speedcheck fisso@50
8.45730,45.69417,130508 Box speedcheck fisso@50
8.45738,45.35014,100316 Traffipax Fisso@90
8.45815,44.90446,111204 Traffipax dir AT@90
8.46094,44.90541,111204 Traffipax dir AL@90
8.46098,45.48042,120727 Box Speed Check Fisso@50
8.46163,45.47873,120727 Box Speed Check Fisso@50
8.46222,45.47728,120727 Box Speed Check Fisso@50
8.46369,45.27187,110616 Traffipax bidirezionale@90
8.46456,45.47186,120727 Box Speed Check Fisso@50
8.47428,45.68942,130508 Box speedcheck fisso@50
8.47768,45.68554,130508 Box speedcheck fisso@50
8.48645,45.07442,100110 Autobox Fisso dir AL@70
8.49144,39.29285,100126 Traffipax Fisso dir Iglesias@50
8.49460,39.29425,100126 Traffipax Fisso dir Carbonia@50
8.49524,45.06835,130126 Traffipax fisso dir AL@70
8.49570,45.31512,070930 Autovelox fisso@70
8.49776,45.31451,091113 Traffipax dir VC@70
8.50605,45.21580,100827 Traffipax bidirezionale@70
8.51359,45.16330,121028 Traffipax Fisso@90
8.53605,44.77203,121219 Traffipax fisso dir nord@70
8.53736,44.78266,121219 Traffipax Fisso dir sud@70
8.55844,44.98583,111227 Traffipax fisso dir Casale@90
8.55901,44.98702,111227 Traffipax fisso dir AL@90
8.57588,45.96198,120423 Box speedcheck@50
8.57798,45.95414,110310 Box Speed Check Fisso@50
8.57885,45.96173,120423 Box speedcheck@50
8.57914,45.94990,110310 Box Speed Check Fisso@50
8.57965,45.95117,110310 Box Speed Check Fisso@50
8.58058,45.96249,121226 Box speedcheck@50
8.58222,39.78012,080722 Traffipax@70
8.58249,39.76815,080722 Traffipax@70
8.58308,45.94852,110310 Box Speed Check Fisso@50
8.58329,45.97524,121226 Box speedcheck@50
8.58336,45.94965,110310 Box Speed Check Fisso@50
8.59835,45.75374,131030 Traffipax Fisso@50
8.59846,45.75374,Traffipax Fisso - Vigili U.@50
8.59863,45.74672,130411 Box speedcheck@50
8.60331,45.74020,130411 Box Speed Check Fisso@50
8.60687,44.61970,131029 Box Speed Check Fisso@50
8.60919,44.62073,131029 Box Speed Check Fisso@50
8.61006,44.85625,120219 Traffipax fisso dir AL@90
8.61047,45.71686,121120 Autobox fisso compatto@50
8.61267,44.62054,Box Speed Check Fisso - Vigili U.@50
8.61278,44.62054,131029 Box Speed Check Fisso@50
8.61651,45.73163,130411 Box speedcheck fisso@50
8.62045,44.84148,120715 Traffipax fisso dir Ovada@90
8.62597,45.70422,130603 Box speedcheck@50
8.63044,45.71992,121007 Autobox fisso compatto@50
8.63549,39.71419,090610 Traffipax Fisso@50
8.64045,45.73827,Box Speed Check Fisso - Vigili U.@50
8.64080,44.98894,071009 Traffipax Fisso Pol.Prov.@90
8.64195,45.73957,Box Speed Check Fisso - Vigili U.@50
8.64529,45.71027,121120 Autobox fisso compatto@50
8.65339,44.64816,111204 Traffipax dir sud@70
8.65467,45.99635,Red-and-Speed Fisso@50
8.65657,44.65644,111204 Traffipax dir nord@70
8.65985,45.39310,120730 Box Speed Check Fisso@50
8.65998,45.39037,120730 Box Speed Check Fisso@50
8.66087,45.38376,120730 Box Speed Check Fisso@50
8.66242,44.58832,100712 Traffipax Fisso dir GE@70
8.66362,45.37332,121110 Box speedcheck fisso@50
8.66487,45.12487,111227 Box speed check fisso@70
8.66490,44.58211,100712 Traffipax Fisso dir Ovada@50
8.66737,45.11851,111227 Box speed check fisso@70
8.66851,45.35479,120805 Box Speed Check Fisso@50
8.66925,44.56308,130924 Box Speed Check Fisso@50
8.66935,45.35015,120805 Box Speed Check Fisso@50
8.67070,45.34658,120805 Box Speed Check Fisso@50
8.67251,44.55773,130924 Box Speed Check Fisso@50
8.67535,45.11308,111112 Box speed check fisso@50
8.67615,45.11654,111227 Box speed check fisso@70
8.67665,45.11269,111112 Box speed check fisso@50
8.67668,45.79087,070701 direzione besozzo@90
8.67708,46.02161,121118 Traffipax SS34@60
8.67766,45.76322,070811 Autovelox Fisso Comabbio@90
8.67770,45.78922,070811direzione Vergiate@90
8.67958,45.73563,100623 Autobox Fisso@90
8.67978,45.72861,130409 Autobox fisso@90
8.68697,46.02320,Red-and-Speed Fisso - Vigili U.@50
8.68748,45.48244,111215 Box speedcheck fisso@50
8.68753,45.47110,111215 Box speed check@50
8.68941,45.47292,111018 Box Speed Check Fisso@50
8.69006,45.47760,111215 Box speedcheck fisso@50
8.69406,46.06960,Box Speed Check Fisso - Vigili U.@50
8.69656,45.32325,120730 Box Speed Check Fisso@50
8.69906,45.31958,120730 Box Speed Check Fisso@50
8.70049,45.31569,120730 Box Speed Check Fisso@50
8.70146,44.52917,130924 Box Speed Check Fisso@50
8.70160,44.53103,130924 Box Speed Check Fisso@50
8.70269,45.47697,120730 Box Speed Check Fisso@50
8.70650,45.97650,091010 Autovelox Fisso@50
8.70748,45.07548,130225 Box speedcheck fisso@50
8.71000,45.07600,130225 Box speedcheck fisso@50
8.71231,45.60271,090903 autobox blu fisso@110
8.71371,44.50435,130924 Box Speed Check Fisso@50
8.71885,44.50070,130924 Box Speed Check Fisso@50
8.73770,44.43571,070404 Fisso A26@80
8.73778,44.42528,111014 Autobox fisso@80
8.74464,45.66911,110523 Box Speed Check Fisso@50
8.74533,44.82691,111126 Traffipax bidirezionale@90
8.74695,44.44801,130810 Box speedcheck@50
8.74882,45.64659,090619 autobox blu fisso@90
8.75104,45.66806,110523 Box Speed Check Fisso@50
8.75500,45.67118,110523 Box Speed Check Fisso@50
8.77522,45.27270,130627 Red and speed dir Mortara@90
8.78630,45.65122,120510 Box Speed Check Fisso@50
8.78737,44.89121,120205 Traffipax fisso dir AL@70
8.78745,45.65112,120510 Box Speed Check Fisso@50
8.78997,45.65067,120510 Box Speed Check Fisso@50
8.79158,45.65059,120510 Box Speed Check Fisso@50
8.79856,45.64840,121114 Box Speed Check Fisso@50
8.80014,45.64733,121114 Box Speed Check Fisso@50
8.80075,45.65554,120517 Box Speed Check Fisso@50
8.80158,45.09109,100109 Autobox Fisso@50
8.80211,45.65475,120517 Box Speed Check Fisso@50
8.80233,45.64642,121114 Box speedcheck fisso@50
8.80280,45.65415,120517 Box Speed Check Fisso@50
8.80300,44.89247,111227 Traffipax fisso@70
8.80582,45.65997,120507 Box Speed Check Fisso@50
8.80659,44.76230,080202 Traffipax Fisso Vigili U@90
8.80672,44.76231,080202 Traffipax Fisso Vigili U@90
8.80686,45.65147,130424 Box speedcheck@50
8.80707,45.65968,120507 Box Speed Check Fisso@50
8.80930,45.65857,120507 Box Speed Check Fisso@50
8.80945,44.83785,100806 Traffipax fisso dir Tortona@90
8.80969,45.78218,100704 Red and speed bidirezionale@90
